,,"1","0000-00-00 00:00:00",
"Appingedam","www.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","www2.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","xziyipt.appingedam.nl","0","0000-00-00 00:00:00",
"Arnhem","arnhem.nl","0","0000-00-00 00:00:00",
"Arnhem","begroting.arnhem.nl","0","0000-00-00 00:00:00",
"Arnhem","digid.arnhem.nl","0","0000-00-00 00:00:00",
"Arnhem","financien.arnhem.nl","0","0000-00-00 00:00:00",
"Arnhem","geo.arnhem.nl","0","0000-00-00 00:00:00",
"Arnhem","loket.arnhem.nl","0","0000-00-00 00:00:00",
"Arnhem","mail.arnhem.nl","0","0000-00-00 00:00:00",
"Arnhem","opendata.arnhem.nl","0","0000-00-00 00:00:00",
"Arnhem","sip.arnhem.nl","0","0000-00-00 00:00:00",
"Arnhem","www.arnhem.nl","0","0000-00-00 00:00:00",
"Arnhem","www2.arnhem.nl","0","0000-00-00 00:00:00",
"Assen","afspraken.assen.nl","0","0000-00-00 00:00:00",
"Assen","assen.nl","1","0000-00-00 00:00:00",
"Assen","gemeenteraad.assen.nl","0","0000-00-00 00:00:00",
"Assen","www.assen.nl","0","0000-00-00 00:00:00",
"Asten","asten.nl","0","0000-00-00 00:00:00",
"Asten","loket.asten.nl","0","0000-00-00 00:00:00",
"Asten","mail.asten.nl","0","0000-00-00 00:00:00",
"Asten","plannen.asten.nl","0","0000-00-00 00:00:00",
"Asten","raad.asten.nl","1","0000-00-00 00:00:00",
"Asten","web.asten.nl","0","0000-00-00 00:00:00",
"Asten","webmail.asten.nl","0","0000-00-00 00:00:00",
"Asten","www.asten.nl","0","0000-00-00 00:00:00",
"Baarle-Nassau","baarle-nassau.nl","0","0000-00-00 00:00:00",
"Baarle-Nassau","intranet.baarle-nassau.nl","0","0000-00-00 00:00:00",
"Baarle-Nassau","secure.baarle-nassau.nl","0","0000-00-00 00:00:00",
"Baarle-Nassau","www.baarle-nassau.nl","0","0000-00-00 00:00:00",
"Baarn","baarn.nl","0","0000-00-00 00:00:00",
"Baarn","extranet.baarn.nl","0","0000-00-00 00:00:00",
"Baarn","intranet.baarn.nl","0","0000-00-00 00:00:00",
"Baarn","secure.baarn.nl","0","0000-00-00 00:00:00",
"Baarn","simsite.baarn.nl","0","0000-00-00 00:00:00",
"Baarn","telewerken.baarn.nl","1","0000-00-00 00:00:00",
"Baarn","webmail.baarn.nl","1","0000-00-00 00:00:00",
"Baarn","www.baarn.nl","0","0000-00-00 00:00:00",
"Barendrecht","afspraak.barendrecht.nl","0","0000-00-00 00:00:00",
"Barendrecht","barendrecht.nl","0","0000-00-00 00:00:00",
"Barendrecht","intranet.barendrecht.nl","0","0000-00-00 00:00:00",
"Barendrecht","loket.barendrecht.nl","0","0000-00-00 00:00:00",
"Barendrecht","mail.barendrecht.nl","0","0000-00-00 00:00:00",
"Barendrecht","rekenkamer.barendrecht.nl","0","0000-00-00 00:00:00",
"Barendrecht","secure.barendrecht.nl","0","0000-00-00 00:00:00",
"Barendrecht","simsite.barendrecht.nl","0","0000-00-00 00:00:00",
"Barendrecht","webmail.barendrecht.nl","1","0000-00-00 00:00:00",
"Barendrecht","www.barendrecht.nl","0","0000-00-00 00:00:00",
"Barneveld","barneveld.nl","0","0000-00-00 00:00:00",
"Barneveld","extranet.barneveld.nl","0","0000-00-00 00:00:00",
"Barneveld","gis.barneveld.nl","0","0000-00-00 00:00:00",
"Barneveld","intranet.barneveld.nl","0","0000-00-00 00:00:00",
"Barneveld","kaart.barneveld.nl","0","0000-00-00 00:00:00",
"Barneveld","secure.barneveld.nl","0","0000-00-00 00:00:00",
"Barneveld","www.barneveld.nl","0","0000-00-00 00:00:00",
"Bedum","bedum.nl","1","0000-00-00 00:00:00",
"Bedum","besluitvorming.bedum.nl","0","0000-00-00 00:00:00",
"Bedum","formulieren.bedum.nl","0","0000-00-00 00:00:00",
"Bedum","intranet.bedum.nl","0","0000-00-00 00:00:00",
"Bedum","mail.bedum.nl","0","0000-00-00 00:00:00",
"Bedum","webmail.bedum.nl","0","0000-00-00 00:00:00",
"Bedum","www.bedum.nl","0","0000-00-00 00:00:00",
"Beek","citrix.gemeentebeek.nl","0","0000-00-00 00:00:00",
"Beek","extranet.gemeentebeek.nl","0","0000-00-00 00:00:00",
"Beek","ftp.gemeentebeek.nl","0","0000-00-00 00:00:00",
"Beek","gemeentebeek.nl","0","0000-00-00 00:00:00",
"Beek","mail.gemeentebeek.nl","0","0000-00-00 00:00:00",
"Beek","secure.gemeentebeek.nl","0","0000-00-00 00:00:00",
"Beek","simsite.gemeentebeek.nl","0","0000-00-00 00:00:00",
"Beek","webmail.gemeentebeek.nl","0","0000-00-00 00:00:00",
"Beek","www.gemeentebeek.nl","0","0000-00-00 00:00:00",
"Beemster","beemster.net","0","0000-00-00 00:00:00",
"Beemster","gemeentebestuur.beemster.net","0","0000-00-00 00:00:00",
"Beemster","intranet.beemster.net","0","0000-00-00 00:00:00",
"Beemster","mail.beemster.net","0","0000-00-00 00:00:00",
"Beemster","pki.beemster.net","0","0000-00-00 00:00:00",
"Beemster","portaal.beemster.net","0","0000-00-00 00:00:00",
"Beemster","secure.beemster.net","0","0000-00-00 00:00:00",
"Beemster","simsite.beemster.net","0","0000-00-00 00:00:00",
"Beemster","webmail.beemster.net","0","0000-00-00 00:00:00",
"Beemster","www.beemster.net","0","0000-00-00 00:00:00",
"Beesel","afspraken.beesel.nl","0","0000-00-00 00:00:00",
"Beesel","beesel.nl","1","0000-00-00 00:00:00",
"Beesel","eforms.beesel.nl","0","0000-00-00 00:00:00",
"Beesel","extranet.beesel.nl","0","0000-00-00 00:00:00",
"Beesel","outlook.beesel.nl","0","0000-00-00 00:00:00",
"Beesel","webmail.beesel.nl","0","0000-00-00 00:00:00",
"Beesel","www.beesel.nl","0","0000-00-00 00:00:00",
"Bellingwedde","bellingwedde.nl","0","0000-00-00 00:00:00",
"Bellingwedde","dacceptatieloket.bellingwedde.nl","0","0000-00-00 00:00:00",
"Bellingwedde","dloket.bellingwedde.nl","0","0000-00-00 00:00:00",
"Bellingwedde","extranet.bellingwedde.nl","0","0000-00-00 00:00:00",
"Bellingwedde","ftp.bellingwedde.nl","0","0000-00-00 00:00:00",
"Bellingwedde","intranet.bellingwedde.nl","0","0000-00-00 00:00:00",
"Bellingwedde","mail.bellingwedde.nl","0","0000-00-00 00:00:00",
"Bellingwedde","simsite.bellingwedde.nl","0","0000-00-00 00:00:00",
"Bellingwedde","webmail.bellingwedde.nl","0","0000-00-00 00:00:00",
"Bellingwedde","www.bellingwedde.nl","0","0000-00-00 00:00:00",
"Berg en Dal","afspraak.groesbeek.nl","0","0000-00-00 00:00:00",
"Berg en Dal","groesbeek.nl","0","0000-00-00 00:00:00",
"Berg en Dal","intranet.groesbeek.nl","0","0000-00-00 00:00:00",
"Berg en Dal","mail.groesbeek.nl","0","0000-00-00 00:00:00",
"Berg en Dal","mail.millingenaanderijn.nl","0","0000-00-00 00:00:00",
"Berg en Dal","mail.ubbergen.nl","0","0000-00-00 00:00:00",
"Berg en Dal","millingenaanderijn.nl","1","0000-00-00 00:00:00",
